Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,bet_over,commence_time
Corbin Burnes,R,MIL,CLE,7.52,5.5,120,0.455,0.761,0.306,1,2023-06-25 13:40:00
George Kirby,R,SEA,BAL,6.03,4.5,110,0.476,0.718,0.242,1,2023-06-25 13:35:00
Austin Gomber,L,COL,LAA,5.25,3.5,-112,0.528,0.769,0.241,1,2023-06-25 15:10:00
Luis Medina,R,OAK,TOR,5.12,3.5,-124,0.554,0.751,0.197,1,2023-06-25 13:37:00
Hunter Brown,R,HOU,LAD,6.94,5.5,-112,0.528,0.692,0.164,1,2023-06-25 19:10:00
Marcus Stroman,R,CHC,STL,5.12,4.5,116,0.463,0.581,0.118,1,2023-06-25 10:10:00
Seth Lugo,R,SDP,WAS,4.97,4.5,118,0.459,0.554,0.095,1,2023-06-25 16:10:00
Daniel Lynch,L,KCR,TBR,4.85,3.5,-174,0.635,0.714,0.079,1,2023-06-25 13:40:00
Anthony DeSclafani,R,SFG,ARI,4.42,3.5,-132,0.569,0.643,0.074,1,2023-06-25 16:05:00
Johan Oviedo,R,PIT,MIA,5.54,4.5,-138,0.58,0.649,0.069,1,2023-06-25 13:40:00
Tony Gonsolin,R,LAD,HOU,4.83,4.5,116,0.463,0.529,0.066,1,2023-06-25 19:10:00
Bailey Ober,R,MIN,DET,5.97,5.5,-102,0.505,0.549,0.044,1,2023-06-25 12:10:00
